"","planner.setup","domain","planner","time","problem","re_opened","expanded_nodes","duplicates","dead_ends","evaluated_states","solved","heuristic_time","plan_length","planning_time","priorityQueueSize","lp_invocations","plan_cost","configuration"
"10","ssnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,119993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup ssnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"11","ssnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,39993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup ssnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"32","sssnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,119993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup sssnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"33","sssnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,6145,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup sssnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"60","sssinp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,119993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup sssinp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"61","sssinp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,39993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup sssinp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"66","ssrnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,79993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup ssrnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"67","ssrnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,39993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup ssrnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"79","ssnp_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1",NA,NA,NA,NA,18448,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup ssnp_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1"
"80","ssnp_opt","../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl",NA,NA,NA,NA,28657,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup ssnp_opt domain ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl"
